Term,Institution Sector,Total Enrollment,Ethnicity,Enrollment
Fall 2007,Doctoral Degree Granting Institutions,96945,Asian,10040
Fall 2007,Technology Colleges,25430,Asian,620
Fall 2006,Community Colleges,209059,Asian,6374
Fall 2006,Comprehensive Colleges,89059,Asian,1904
Fall 2006,Doctoral Degree Granting Institutions,95136,Asian,9873
Fall 2006,Technology Colleges,24321,Asian,590
Fall 2005,Community Colleges,208370,Asian,6315
Fall 2005,Comprehensive Colleges,87171,Asian,1859
Fall 2005,Doctoral Degree Granting Institutions,94198,Asian,9604
Fall 2005,Technology Colleges,24426,Asian,650
Fall 2004,Community Colleges,209646,Asian,6379
Fall 2004,Comprehensive Colleges,86808,Asian,1853
Fall 2004,Doctoral Degree Granting Institutions,92737,Asian,9680
Fall 2004,Technology Colleges,24381,Asian,630
Fall 2003,Community Colleges,204487,Asian,6224
Fall 2003,Comprehensive Colleges,87543,Asian,1836
Fall 2003,Doctoral Degree Granting Institutions,94041,Asian,9758
Fall 2003,Technology Colleges,23809,Asian,606
Fall 2002,Community Colleges,198522,Asian,6003
Fall 2002,Comprehensive Colleges,88899,Asian,1817
Fall 2002,Doctoral Degree Granting Institutions,92295,Asian,9554
Fall 2002,Technology Colleges,23223,Asian,551
Fall 2020,Doctoral Degree Granting Institutions,113127,Asian,16856
Fall 2020,Comprehensive Colleges,81181,Asian,2830
Fall 2020,Technology Colleges,25982,Asian,1366
Fall 2020,Community Colleges,173929,Asian,7624
Fall 2021,Doctoral Degree Granting Institutions,112239,Asian,17501
Fall 2021,Comprehensive Colleges,73882,Asian,2588
Fall 2021,Technology Colleges,23477,Asian,1387
Fall 2021,Community Colleges,160516,Asian,7646
Fall 2022,Doctoral Degree Granting Institutions,110941,Asian,18097
Fall 2022,Comprehensive Colleges,70297,Asian,2526
Fall 2022,Technology Colleges,23041,Asian,1378
Fall 2022,Community Colleges,159333,Asian,8067
Fall 2023,Doctoral Degree Granting Institutions,111057,Asian,18812
Fall 2023,Comprehensive Colleges,70644,Asian,2554
Fall 2023,Technology Colleges,23612,Asian,1498
Fall 2023,Community Colleges,162225,Asian,8338
Fall 2019,Community Colleges,192959,Black or African American,22626
Fall 2019,Comprehensive Colleges,83674,Black or African American,10215
Fall 2019,Doctoral Degree Granting Institutions,112265,Black or African American,9048
Fall 2019,Technology Colleges,26674,Black or African American,3336
Fall 2018,Community Colleges,199873,Black or African American,24025
Fall 2018,Comprehensive Colleges,85613,Black or African American,10527
Fall 2018,Doctoral Degree Granting Institutions,111299,Black or African American,8952
Fall 2018,Technology Colleges,27266,Black or African American,3381
Fall 2017,Community Colleges,209418,Black or African American,25454
Fall 2017,Comprehensive Colleges,86301,Black or African American,10417
Fall 2017,Doctoral Degree Granting Institutions,109030,Black or African American,8433
Fall 2017,Technology Colleges,27106,Black or African American,3263
Fall 2016,Community Colleges,216277,Black or African American,26125
Fall 2016,Comprehensive Colleges,85633,Black or African American,9825
Fall 2016,Doctoral Degree Granting Institutions,107422,Black or African American,7939
Fall 2016,Technology Colleges,26806,Black or African American,3200
Fall 2015,Community Colleges,222998,Black or African American,26466
Fall 2015,Comprehensive Colleges,87764,Black or African American,9614
Fall 2015,Doctoral Degree Granting Institutions,105998,Black or African American,7643
Fall 2015,Technology Colleges,26180,Black or African American,3055
Fall 2014,Community Colleges,233812,Black or African American,27625
Fall 2014,Comprehensive Colleges,89442,Black or African American,9088
Fall 2014,Doctoral Degree Granting Institutions,105408,Black or African American,7297
Fall 2014,Technology Colleges,26177,Black or African American,3034
Fall 2013,Community Colleges,239791,Black or African American,28146
Fall 2013,Comprehensive Colleges,89701,Black or African American,8172
Fall 2013,Doctoral Degree Granting Institutions,104285,Black or African American,7144
Fall 2013,Technology Colleges,25773,Black or African American,2999
Fall 2012,Community Colleges,243007,Black or African American,28208
Fall 2012,Comprehensive Colleges,90908,Black or African American,7680
Fall 2012,Doctoral Degree Granting Institutions,102205,Black or African American,6722
Fall 2012,Technology Colleges,25696,Black or African American,2963
Fall 2011,Community Colleges,247667,Black or African American,27695
Fall 2011,Comprehensive Colleges,92783,Black or African American,6744
Fall 2011,Doctoral Degree Granting Institutions,101664,Black or African American,6582
Fall 2011,Technology Colleges,25892,Black or African American,2799
Fall 2010,Community Colleges,249343,Black or African American,27483
Fall 2010,Comprehensive Colleges,93204,Black or African American,5273
Fall 2010,Doctoral Degree Granting Institutions,100457,Black or African American,6310
Fall 2010,Technology Colleges,28180,Black or African American,2671
Fall 2009,Community Colleges,239243,Black or African American,25331
Fall 2009,Comprehensive Colleges,94024,Black or African American,6900
Fall 2009,Doctoral Degree Granting Institutions,100402,Black or African American,6435
Fall 2009,Technology Colleges,27778,Black or African American,2514
Fall 2008,Community Colleges,220995,Black or African American,23461
Fall 2008,Comprehensive Colleges,92825,Black or African American,6785
Fall 2008,Doctoral Degree Granting Institutions,99162,Black or African American,6533
Fall 2008,Technology Colleges,26541,Black or African American,2436
Fall 2007,Community Colleges,214129,Black or African American,21898
Fall 2007,Comprehensive Colleges,90894,Black or African American,6553
Fall 2007,Doctoral Degree Granting Institutions,96945,Black or African American,6400
Fall 2007,Technology Colleges,25430,Black or African American,2237
Fall 2006,Community Colleges,209059,Black or African American,21150
Fall 2006,Comprehensive Colleges,89059,Black or African American,6367
Fall 2006,Doctoral Degree Granting Institutions,95136,Black or African American,6211
Fall 2006,Technology Colleges,24321,Black or African American,2159
Fall 2005,Community Colleges,208370,Black or African American,21042
Fall 2005,Comprehensive Colleges,87171,Black or African American,5695
Fall 2005,Doctoral Degree Granting Institutions,94198,Black or African American,6142
Fall 2005,Technology Colleges,24426,Black or African American,2182
Fall 2004,Community Colleges,209646,Black or African American,20658
Fall 2004,Comprehensive Colleges,86808,Black or African American,5441
Fall 2004,Doctoral Degree Granting Institutions,92737,Black or African American,6069
Fall 2004,Technology Colleges,24381,Black or African American,2151
Fall 2003,Community Colleges,204487,Black or African American,19869
Fall 2003,Comprehensive Colleges,87543,Black or African American,5369
Fall 2003,Doctoral Degree Granting Institutions,94041,Black or African American,6150
Fall 2003,Technology Colleges,23809,Black or African American,2122
Fall 2002,Community Colleges,198522,Black or African American,18700
Fall 2002,Comprehensive Colleges,88899,Black or African American,5414
Fall 2002,Doctoral Degree Granting Institutions,92295,Black or African American,6129
Fall 2002,Technology Colleges,23223,Black or African American,2108
Fall 2020,Doctoral Degree Granting Institutions,113127,Black or African American,9307
Fall 2020,Comprehensive Colleges,81181,Black or African American,9968
Fall 2020,Technology Colleges,25982,Black or African American,3401
Fall 2020,Community Colleges,173929,Black or African American,19513
Fall 2021,Doctoral Degree Granting Institutions,112239,Black or African American,9217
Fall 2021,Comprehensive Colleges,73882,Black or African American,8504
Fall 2021,Technology Colleges,23477,Black or African American,2847
Fall 2021,Community Colleges,160516,Black or African American,17408
Fall 2022,Doctoral Degree Granting Institutions,110941,Black or African American,9140
Fall 2022,Comprehensive Colleges,70297,Black or African American,8062
Fall 2022,Technology Colleges,23041,Black or African American,2765
Fall 2022,Community Colleges,159333,Black or African American,17706
Fall 2023,Doctoral Degree Granting Institutions,111057,Black or African American,9535
Fall 2023,Comprehensive Colleges,70644,Black or African American,7962
Fall 2023,Technology Colleges,23612,Black or African American,2955
Fall 2023,Community Colleges,162225,Black or African American,18784
Fall 2019,Community Colleges,192959,Hispanic/Latino,31531
Fall 2019,Comprehensive Colleges,83674,Hispanic/Latino,11663
Fall 2019,Doctoral Degree Granting Institutions,112265,Hispanic/Latino,11151
Fall 2019,Technology Colleges,26674,Hispanic/Latino,4241
Fall 2018,Community Colleges,199873,Hispanic/Latino,31057
Fall 2018,Comprehensive Colleges,85613,Hispanic/Latino,11639
Fall 2018,Doctoral Degree Granting Institutions,111299,Hispanic/Latino,10923
Fall 2018,Technology Colleges,27266,Hispanic/Latino,4119
Fall 2017,Community Colleges,209418,Hispanic/Latino,30861
Fall 2017,Comprehensive Colleges,86301,Hispanic/Latino,11219
Fall 2017,Doctoral Degree Granting Institutions,109030,Hispanic/Latino,10368
Fall 2017,Technology Colleges,27106,Hispanic/Latino,3863
Fall 2016,Community Colleges,216277,Hispanic/Latino,30097
